video_id,video_title,channel_title,channel_id,thumbnail_url,view_cnt,body_part
-UKTmafjk30,"가슴운동 8월31일",챔프남경윤,UC3QIgzlPd5HtCdYRQ8RxfSQ,https://i.ytimg.com/vi/-UKTmafjk30/default.jpg,0,가슴
-V-Rdcn_ok8,"🏅요일별운동🏅 수요일 탄력있는 가슴, 겨드랑이 군살타파! 가슴 운동루틴",힙으뜸,UC4yq3FWEWqMvFNFBsV3gbKQ,https://i.ytimg.com/vi/-V-Rdcn_ok8/default.jpg,0,가슴
-wU_pG-P-8c,"[어깨,가슴 운동] &quot;강력한 어깨를 만들어줄 홈트 (중급자 추천)&quot;","GILHWAN 길환TV",UCkEQJUPvOVX0xNGLFYcTxfg,https://i.ytimg.com/vi/-wU_pG-P-8c/default.jpg,0,어깨
-wzlS6klLYU,"복부 운동: 8분 복근운동(식스팩 만들기) - 영어 버전","P4P Korean",UC-xi2CSNDOi8BvCgBpErAuQ,https://i.ytimg.com/vi/-wzlS6klLYU/default.jpg,0,복부
-XRlBQ5uI30,"고릴라한테 하체운동 배웠습니다",말왕TV,UCYJDUekoQz0-bo8al1diLWQ,https://i.ytimg.com/vi/-XRlBQ5uI30/default.jpg,0,하체
-ZGKtzzEWwg,"가슴이 웅장하다 못해 커지는 운동 (feat. 고독한갯츠비)","마왕 마선호",UCFdUNeQPgh9lXdBQD2Id7vg,https://i.ytimg.com/vi/-ZGKtzzEWwg/default.jpg,0,가슴
0-IEYmXxib0,"등 운동의 해부학적 원리",헬스컬레이터,UCuWQnyKynFIl3-IovU1_GDg,https://i.ytimg.com/vi/0-IEYmXxib0/default.jpg,0,등
00qzht2O2co,"어깨운동 | 9년동안 어깨 부상 없이 운동한 비결 가르쳐드릴께요 | 어깨스트레칭 2가지",피티아메리카,UCPDVsG87koBteE927nnEVZQ,https://i.ytimg.com/vi/00qzht2O2co/default.jpg,0,어깨
06D2t5orpds,"ENG)복근의 정석. 복근운동할 때 허리 아픈 사람 클릭!",힙으뜸,UC4yq3FWEWqMvFNFBsV3gbKQ,https://i.ytimg.com/vi/06D2t5orpds/default.jpg,0,복부
0Av-WeI-sbE,"세계 1위 &#39;크리스 범스테드&#39;가 &#39;닉 워커&#39;와 등 운동 하다가 갑자기 우울해진 기막힌 이유는!? (feat. 넓은 등, 운동 루틴, 광배 운동, 프로 보디빌더)","오늘의 머슬한입",UCt1IY1PhDixsM_DE8-ffrSw,https://i.ytimg.com/vi/0Av-WeI-sbE/default.jpg,0,등
